1	2025-02-01 17:11:00	1	1	1	1
2	2025-02-01 08:35:00	1	0	2	1
2	2025-02-01 18:18:00	1	1	2	0
3	2025-02-01 08:28:00	1	0	2	1
3	2025-02-01 18:11:00	1	1	2	1
4	2025-02-01 19:29:00	1	1	1	1
5	2025-02-01 10:23:00	1	0	2	1
1	2025-02-02 17:14:00	1	1	2	1
3	2025-02-02 19:49:00	1	1	1	0
4	2025-02-02 08:29:00	1	0	2	1
1	2025-02-03 10:31:00	1	0	1	0
2	2025-02-03 19:03:00	1	1	2	0
3	2025-02-03 17:49:00	1	1	2	1
4	2025-02-03 09:09:00	1	0	2	0
4	2025-02-03 18:47:00	1	1	2	1
5	2025-02-03 08:11:00	1	0	1	1
1	2025-02-04 08:18:00	1	0	1	1
2	2025-02-04 10:43:00	1	0	2	1
3	2025-02-04 17:33:00	1	1	2	0
4	2025-02-04 10:13:00	1	0	1	0
5	2025-02-04 18:05:00	1	1	1	1
1	2025-02-05 09:39:00	1	0	2	1
1	2025-02-05 18:02:00	1	1	1	1
2	2025-02-05 10:09:00	1	0	1	0
3	2025-02-05 08:50:00	1	0	2	0
4	2025-02-05 19:07:00	1	1	1	1
5	2025-02-05 09:36:00	1	0	2	0
1	2025-02-06 10:35:00	1	0	2	1
1	2025-02-06 18:08:00	1	1	1	1
2	2025-02-06 08:31:00	1	0	2	1
3	2025-02-06 09:37:00	1	0	1	0
4	2025-02-06 08:31:00	1	0	1	0
5	2025-02-06 10:08:00	1	0	2	0
5	2025-02-06 19:45:00	1	1	1	1
1	2025-02-07 17:28:00	1	1	2	1
2	2025-02-07 10:17:00	1	0	1	1
3	2025-02-07 08:56:00	1	0	1	0
5	2025-02-07 09:45:00	1	0	1	0
2	2025-02-08 08:24:00	1	0	2	0
3	2025-02-08 19:26:00	1	1	1	1
4	2025-02-08 08:52:00	1	0	1	1
4	2025-02-08 19:08:00	1	1	2	0
5	2025-02-08 17:00:00	1	1	2	1
1	2025-02-09 10:23:00	1	0	1	0
1	2025-02-09 17:44:00	1	1	1	1
2	2025-02-09 08:26:00	1	0	1	0
3	2025-02-09 18:24:00	1	1	1	1
4	2025-02-09 10:24:00	1	0	2	0
5	2025-02-09 17:50:00	1	1	2	0
1	2025-02-10 18:36:00	1	1	2	1
2	2025-02-10 18:29:00	1	1	1	1
4	2025-02-10 10:01:00	1	0	2	1
5	2025-02-10 18:00:00	1	1	2	0
1	2025-02-11 09:24:00	1	0	1	1
2	2025-02-11 18:54:00	1	1	1	1
3	2025-02-11 09:50:00	1	0	1	0
3	2025-02-11 19:13:00	1	1	1	0
4	2025-02-11 10:21:00	1	0	1	1
5	2025-02-11 09:58:00	1	0	1	1
1	2025-02-12 10:18:00	1	0	1	0
1	2025-02-12 18:23:00	1	1	2	0
4	2025-02-12 19:24:00	1	1	1	0
5	2025-02-12 09:35:00	1	0	1	0
1	2025-02-13 10:15:00	1	0	1	0
1	2025-02-13 17:59:00	1	1	2	1
2	2025-02-13 08:41:00	1	0	1	1
4	2025-02-13 10:25:00	1	0	1	0
4	2025-02-13 19:05:00	1	1	1	1
5	2025-02-13 08:16:00	1	0	1	1
5	2025-02-13 17:39:00	1	1	1	1
